	Academy Name	High School	School District	County	Primary CTE Industry Sector	Cash	Equipment	Scholarship	Stipend	Other	Paid Internships	Emp. Hours	Total
1	Academy of Ag Engineering	Orosi High School	Cutler-Orosi Joint Unified School District	Tulare	Agriculture & Natural Resources	0	0	0	0	0	0	2100	2100
2	Academy of Ag Science	Exeter High School	Exeter Unified School District	Tulare	Agriculture & Natural Resources	0	0	0	0	0	0	0	0
3	Academy of Ag Science	TJUHSD Farm	Tulare Joint Union High School District	Tulare	Agriculture & Natural Resources	0	0	0	0	0	0	350	350
4	Academy of Agriscience	Hanford High School	Hanford Joint Union High School District	Kings	Agriculture & Natural Resources	0	0	0	0	0	0	0	0
5	Academy of Alternative Energy Reuseable Occupations	Porterville High School	Porterville Unified School District	Tulare	Energy & Utilities	0	0	0	0	0	187.2	19372.5	19559.7
6	Academy of Arts	Tulare Union High School	Tulare Joint Union High School District	Tulare	"Arts, Media, & Entertainment"	0	0	0	0	0	0	3150	3150
7	Academy of Digital Design and Communication	Granite Hills High School	Porterville Unified School District	Tulare	Information Technology	0	0	0	0	0	8236.8	82696.25	90933.05
8	Academy of Engineering	Harmony High School	Porterville Unified School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	17842.5	252446.25	270288.75
9	Academy of Engineering	Lindsay High School	Lindsay Unified School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	2667.6	23520	26187.6
10	Academy of Engineering	Mission Oak High School	Tulare Joint Union High School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	0	0	0
11	Academy of Engineering and Green Technology	Orosi High School	Cutler-Orosi Joint Unified School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	0	12005	12005
12	Academy of Health Sciences	Orosi High School	Cutler-Orosi Joint Unified School District	Tulare	Health Sciences and Medical Technology 	0	0	0	0	0	0	19687.5	19687.5
13	Academy of Hospitality and Tourism	Monache High School 	Porterville Unified School District	Tulare	"Hospitality, Tourism, and Recreation"	0	0	0	0	0	0	1120	1120
14	Academy of Media Arts	El Diamante High School	#N/A	#N/A	#N/A	0	0	0	0	0	0	1120	1120
15	Academy of Performing Arts	Harmony High School	Porterville Unified School District	Tulare	"Arts, Media, & Entertainment"	0	0	0	0	0	23563.8	283753.75	307317.55
16	Ag Design and Fabrication Pathway	Lemoore High School	Lemoore High School District	Kings	Agriculture & Natural Resources	0	0	0	0	0	0	0	0
17	Ag Engineering	Golden West High School	Visalia Unified School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	0	9065	9065
18	Ag Mechanics	Woodlake High School	Woodlake Unified High School District	Tulare	Agriculture & Natural Resources	0	0	0	0	0	0	0	0
19	Agriculture Bio-Science and Technology	VTEC High School	Visalia Unified School District	Tulare	Agriculture & Natural Resources	0	0	0	0	0	0	0	0
20	Agriculture Mechanics and Science	Corcoran High School	Corcoran Unified School District	Kings	Agriculture & Natural Resources	0	600	0	0	44101.87	0	0	44701.87
21	Architecture and Engineering	Redwood High School	Visalia Unified School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	0	1225	1225
22	"Arts, Media, and Entertainment"	Hanford West High School	Hanford Joint Union High School District	Kings	"Arts, Media, & Entertainment"	0	0	0	0	0	0	0	0
23	"Business, Finance & Technology"	Sierra Pacific High School	Hanford Joint Union High School District	Kings	Business & Finance	0	0	0	0	0	0	0	0
24	Careers in Education Pathway	Lemoore High School	Lemoore High School District	Kings	"Education, Child Development, & Family Services"	0	0	0	0	0	0	0	0
25	Computer Science	Mt. Whitney High School	Visalia Unified School District	Tulare	Information Technology	0	0	0	0	0	0	1540	1540
26	Emerging Agricultural Technology	Strathmore High School	Porterville Unified School District	Tulare	Agriculture & Natural Resources	0	0	0	0	0	3088.8	37187.5	40276.3
27	Engineering and Construction Management Academy	Dinuba High School	Dinuba Unified School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	0	62825	62825
28	Engineering Design and Pathway	Lemoore High School	Lemoore High School District	Kings	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	0	0	0
29	Environmental Sciences Academy	Monache High School 	Porterville Unified School District	Tulare	Energy & Utilities	0	0	0	0	0	4492.8	150403.75	154896.55
30	Graphic Arts and Media Entertainment	Exeter High School	Exeter Unified School District	Tulare	"Arts, Media, & Entertainment"	0	0	0	0	0	0	0	0
31	Health Sciences	Lindsay High School	Lindsay Unified School District	Tulare	Health Sciences and Medical Technology 	0	0	0	0	0	0	4725	4725
32	Health Sciences	Mt. Whitney High School	Visalia Unified School District	Tulare	Health Sciences and Medical Technology 	0	0	0	0	0	1161.225	17027.5	18188.725
33	Information Technology	Lindsay High School	Lindsay Unified School District	Tulare	Information Technology	0	0	0	0	0	4141.8	24780	28921.8
34	"Law, Justice, & Education "	Granite Hills High School	Porterville Unified School District	Tulare	Public Services	0	0	0	0	0	3346.2	45176.25	48522.45
35	Manufacturing and Construction Technology Academy	Monache High School	Porterville Unified School District	Tulare	Manufacturing & Product Design/Engineering & Design	0	0	0	0	0	0	0	0
36	MED Academy	Dinuba High School	Dinuba Unified School District	Tulare	Health Sciences and Medical Technology 	0	0	0	0	0	28770.3	126455	155225.3
37	Multi-Media and Technology Academy	Monache High School	Porterville Unified School District	Tulare	Information Technology	0	0	0	0	0	3861	69886.25	73747.25
38	PAB - Academy of Finance	Porterville High School	Porterville Unified School District	Tulare	Business & Finance	0	0	0	0	0	18439.2	205458.75	223897.95
39	PAHS - Academy of Health Sciences	Porterville High School	Porterville Unified School District	Tulare	Health Sciences and Medical Technology 	0	0	0	0	0	3591.9	52001.25	55593.15
40	Pre-Medical Academy	Tulare Western High School	Tulare Joint Union High School District	Tulare	Health Sciences and Medical Technology 	0	0	0	0	0	1760.85	16380	18140.85
