,Employer,Cash,Equipment,Scholarship,Stipend,Other,Paid Internships,Total,Contact First Name,Contact Last Name,Contact Email,Contact Phone
1,2Market Visuals,0,0,0,0,0,0,0,,,,
2,3 R Construction,0,0,0,0,0,0,0,,,,
3,"4 Creeks, Inc.",0,0,0,0,0,0,0,,,,
4,A2 Designs LLC,0,0,0,0,0,0,0,,,,
5,ABLE Industries,0,0,0,0,0,0,0,,,,
6,Acme Paving Co. Inc.,0,0,0,0,0,0,0,,,,
7,Acting Up,0,0,0,0,0,1918.8,0,,,,
8,Adair & Evans,0,0,0,0,0,0,0,,,,
9,Adelaide Family Dentistry,0,0,0,0,0,1872,0,,,,
10,Advanced Structural Design Inc.,0,0,0,0,0,0,0,,,,
11,Adventist Health,0,0,0,0,0,0,0,,,,
12,Adventist Medical Center,0,0,0,0,0,0,0,,,,
13,Aerotek,0,0,0,0,0,0,0,,,,
14,Ag Lending,0,0,0,0,0,0,0,,,,
15,Agidius Orchards,0,0,0,0,0,0,0,,,,
16,AgriCare,0,0,0,0,0,0,0,,,,
17,Agri-Valley Irrigation,0,0,0,0,0,0,0,,,,
18,"Agusa, Inc.",0,0,0,0,0,0,0,,,,
19,Airoso Dairy,0,0,0,0,0,0,0,,,,
20,Alcoa Davenport Works,0,0,0,0,0,0,0,,,,
21,"All Family Lending & Real Estate, Inc.",0,0,0,0,0,0,0,,,,
22,All State Insurance,0,0,0,0,0,1404,0,,,,
23,Allegiance Waste & Recycling,0,0,0,0,0,0,0,,,,
24,AllFlex,0,0,0,0,0,0,0,,,,
25,Alta Family Health Clinic,0,0,0,0,0,1872,0,,,,
26,Amdal In-Home Care,0,0,0,0,0,0,0,,,,
27,American Inc.,0,0,0,0,0,0,0,,,,
28,American River Package One,0,0,0,0,0,0,0,,,,
29,Art's Cabinets,0,0,0,0,0,0,0,,,,
30,Assisted Service Dog Education Center,0,0,0,0,0,0,0,,,,
31,Atlas Walnuts,0,0,0,0,0,0,0,,,,
32,Avila Graphic Arts,0,0,0,0,0,0,0,,,,
33,Awards & Signs Unlimited,0,0,0,0,0,0,0,,,,
34,B & Z Nursery,0,0,0,0,0,280.8,0,,,,
35,Badger Farming Company,0,0,0,0,0,0,0,,,,
36,Baker Commodities,0,0,0,0,0,0,0,,,,
37,Bakersfield College,0,0,0,0,0,0,0,,,,
38,Bank of Commerce,0,0,0,0,0,0,0,,,,
39,Bank of the Sierra,0,0,0,0,0,702,0,,,,
40,Barn Theatre Board,0,0,0,0,0,0,0,,,,
41,Barnes Construction,0,0,0,0,0,0,0,,,,
42,Barnes Welding Supply,0,0,0,0,0,0,0,,,,
43,Bar-One Farms,0,0,0,0,0,0,0,,,,
44,BASF,0,0,0,0,0,0,0,,,,
45,"Beckman Coulter, Inc.",0,0,0,0,0,0,0,,,,
46,Beco Dairy Automation,0,0,0,0,0,0,0,,,,
47,"Bioproducts, Inc.",0,0,0,0,0,0,0,,,,
48,BJ Perch Construction,0,0,0,0,0,0,0,,,,
49,Blair Air & Ground,0,0,0,0,721.5,0,721.5,Roger,Hewett,0,559-924-1276
50,Bluescope Buildings,0,0,0,0,0,0,0,,,,
51,BMC West,0,0,0,0,0,0,0,,,,
52,BMI Group,0,0,0,0,0,0,0,,,,
53,BMW of Visalia,0,0,0,0,0,0,0,,,,
54,Bob*s Tiny Market,0,0,0,0,0,702,0,,,,
55,Bob's Tiny Market,0,0,0,0,0,702,0,,,,
56,Booth Ranches,0,0,0,0,0,0,0,,,,
57,Bowsmith,0,0,0,0,0,0,0,,,,
58,Boyett Farms,0,0,0,0,0,0,0,,,,
59,Boys & Girls Club of Tulare,0,0,0,0,0,590.85,0,,,,
60,Britz Fertilizers,0,0,0,0,0,0,0,,,,
61,BSK Associates,0,0,0,0,0,0,0,,,,
62,Buckman-Mitchell Inc,0,0,0,0,0,0,0,,,,
63,Burgos Tile,0,0,0,0,0,702,0,,,,
64,Burr Commercial Real Estate,0,0,0,0,0,0,0,,,,
65,Burton School District,0,0,0,0,0,702,0,,,,
66,Bush Construction,0,0,0,0,0,0,0,,,,
67,Bussetto Foods,0,0,0,0,0,0,0,,,,
68,C D R Sytems Inc.,0,0,0,0,0,0,0,,,,
69,Caglia Environmental,0,0,0,0,0,0,0,,,,
70,Cal Bennett's,0,0,0,0,0,0,0,,,,
71,"Calarco, Inc.",0,0,0,0,2826.77,0,2826.77,Bob,Uyemura,0,559-992-3127
72,Calcot Ltd.,0,0,0,0,0,0,0,,,,
73,"California Bio-Productex, Inc.",0,0,0,0,0,0,0,,,,
74,California Department of Corrections and Rehab,0,0,0,0,0,0,0,,,,
75,California Department of Transportation,0,0,0,0,0,0,0,,,,
76,California Health Sciences University,0,0,0,0,0,0,0,,,,
77,California Highway Patrol,0,0,0,0,0,0,0,,,,
78,California State Prison,0,0,0,0,0,0,0,,,,
79,"California State University, Fresno",0,0,0,0,0,0,0,,,,
80,California Turf Equipment,0,0,0,0,0,0,0,,,,
81,California Water Service Company,0,0,0,0,0,0,0,,,,
82,Call & Jensen,0,0,0,0,0,0,0,,,,
83,CalPoly San Luis Obispo,0,0,0,0,0,0,0,,,,
84,CalTrans,0,0,0,0,0,0,0,,,,
85,Camfil Farr Company,0,0,0,0,0,0,0,,,,
86,Camino Real Farm Labor,0,0,0,0,0,2808,0,,,,
87,Career Pillar,0,0,0,0,0,0,0,,,,
88,Cargil Inc. - Nutrena Feed Division,0,0,0,0,0,0,0,,,,
89,Carpenter's Union,0,0,0,0,0,0,0,,,,
90,Casa Grande Senior Care Homes & Assisted Living,0,0,0,0,0,0,0,,,,
91,"CEI Engineering Associates, Inc.",0,0,0,0,0,0,0,,,,
92,Centex Homes,0,0,0,0,0,0,0,,,,
93,Central California Family Crisis Center,0,0,0,0,0,163.8,0,,,,
94,Central Valley Business Forms,0,0,0,0,0,0,0,,,,
95,"Central Valley Cabinet, MFG.",0,0,0,0,0,0,0,,,,
96,Central Valley Community Bank,0,0,0,0,0,0,0,,,,
97,Central Valley Foot & Ankle,0,0,0,0,0,0,0,,,,
98,Central Valley General Hospital,0,0,0,0,0,0,0,,,,
99,Central Valley Meat Co.,0,0,0,0,0,0,0,,,,
100,Certified Development Corp. dba Business Finance Center of Tulare,0,0,0,0,0,0,0,,,,
101,Chamber of Commerce - Corcoran,0,0,0,0,0,0,0,,,,
102,Chamber of Commerce - Cutler - Orosi,0,0,0,0,0,0,0,,,,
103,Chamber of Commerce - Dinuba,0,0,0,0,0,0,0,,,,
104,Chamber of Commerce - Exeter,0,0,0,0,0,0,0,,,,
105,Chamber of Commerce - Hanford,0,0,0,0,0,0,0,,,,
106,Chamber of Commerce - Lindsay,0,0,0,0,0,0,0,,,,
107,Chamber of Commerce - Porterville,0,0,0,0,0,468,0,,,,
108,Chamber of Commerce - Tulare,0,0,0,0,0,0,0,,,,
109,Chamber of Commerce - Visalia,0,0,0,0,0,0,0,,,,
110,Chemical Waste Management,0,0,0,0,0,0,0,,,,
111,Children's Hospital,0,0,0,0,0,0,0,,,,
112,Christenson Law Firm,0,0,0,0,0,0,0,,,,
113,Circle J/SCICON,0,0,0,0,0,0,0,,,,
114,Circle T Farms,0,0,0,0,592,0,592,Fred,Holt,ctfarms43@yahoo.com,559-240-4707
115,Citizens Business Bank,0,0,0,0,0,0,0,,,,
116,Citri-Care,0,0,0,0,0,0,0,,,,
117,City of Corcoran,0,0,0,0,0,0,0,,,,
118,City of Dinuba,0,0,0,0,0,0,0,,,,
119,City of Exeter,0,0,0,0,0,1404,0,,,,
120,City of Lindsay,0,0,0,0,0,2901.6,0,,,,
121,City of Porterville,0,0,0,0,0,5101.2,0,,,,
122,City of Reedley,0,0,0,0,0,0,0,,,,
123,City of Tulare,0,0,0,0,0,0,0,,,,
124,City of Visalia,0,0,0,0,0,0,0,,,,
125,CM Construction Services,0,0,0,0,0,0,0,,,,
126,Coca-Cola Refreshments,0,0,0,0,0,0,0,,,,
127,College of the Sequoias,0,0,0,0,0,0,0,,,,
128,Comfort Suites,0,0,0,0,0,0,0,,,,
129,Conagra Foods Inc.,0,0,0,0,0,0,0,,,,
130,ConnectED,0,0,0,0,0,0,0,,,,
131,Corcoran District Hospital,0,0,0,0,0,0,0,,,,
132,Corcoran Joint Unified School District,0,0,0,0,0,0,0,,,,
133,"Corcoran Machine Works, Inc.",0,0,0,0,0,0,0,,,,
134,Corps of Engineers,0,0,0,0,0,1380.6,0,,,,
135,Country Club Mortgage Inc.,0,0,0,0,0,0,0,,,,
136,County Pleasures,0,0,0,0,0,702,0,,,,
137,Crisps Warehouse,0,0,0,0,0,0,0,,,,
138,Cross Creek Gin,0,0,0,0,14422.6,0,14422.6,Kirk,Gilkey,0,559-816-0175
139,Cross Street Vet,0,0,0,0,0,0,0,,,,
140,CSET,0,0,0,0,0,0,0,,,,
141,CTL-SEE'S Inc.,0,0,0,0,0,0,0,,,,
142,Curtis Alkire Insurance Services,0,0,0,0,0,0,0,,,,
143,Cutler-Orosi Joint Unified School District,0,0,0,0,0,0,0,,,,
144,D&S Service Center,0,0,0,0,0,0,0,,,,
145,Dairy Solutions,0,0,0,0,0,0,0,,,,
146,Darden Architects,0,0,0,0,0,0,0,,,,
147,DASH Therapy,0,0,0,0,0,0,0,,,,
148,Dayka Hackett,0,0,0,0,0,0,0,,,,
149,DDS,0,0,0,0,0,0,0,,,,
150,Del Monte Foods,0,0,0,0,0,0,0,,,,
151,Dibuduo & Defendis Insurance,0,0,0,0,0,1872,0,,,,
152,Dickey's Barbecue Pit,0,0,0,0,0,0,0,,,,
153,Dinuba Children's Services,0,0,0,0,0,0,0,,,,
154,Dinuba Chiropracter,0,0,0,0,0,0,0,,,,
155,Dinuba Chiropractic,0,0,0,0,0,0,0,,,,
156,Dinuba Fire Department,0,0,0,0,0,1872,0,,,,
157,Dinuba Unified School District,0,0,0,0,0,2562.3,0,,,,
158,Diversified Dairy Solutions,0,0,0,0,0,0,0,,,,
159,Diversified Development Group,0,0,0,0,0,0,0,,,,
160,DMI Agency,0,0,0,0,0,0,0,,,,
161,Don Thompson Creative Services,0,0,0,0,0,0,0,,,,
162,"Dooley, Herr, Pedersen & Berglund Bailey, LLP.",0,0,0,0,0,0,0,,,,
163,"Doug De Leo Welding, Inc",0,0,0,0,0,0,0,,,,
164,"Dr. Carlos A. Moraza, DDS",0,0,0,0,0,0,0,,,,
165,"Dr. Ian Duncan, MD",0,0,0,0,0,0,0,,,,
166,"Dr. Kajori G.Thusu, M.D.",0,0,0,0,0,3744,0,,,,
167,Dr. Karl J Pendegraft DDS,0,0,0,0,0,0,0,,,,
168,Dr. Nagrani Kishu M.D.,0,0,0,0,0,1872,0,,,,
169,"Dr. Shaun Matsumoto, D.C.",0,0,0,0,0,3744,0,,,,
170,Dr. Thiagarajan Ramu M.D.,0,0,0,0,0,702,0,,,,
171,"Dr. Timothy Suorsa, O.D.",0,0,0,0,0,702,0,,,,
172,Dr. Togrol Saljoughy M.D.,0,0,0,0,0,702,0,,,,
173,Duarte Nursery,0,0,0,0,0,0,0,,,,
174,Durango Packing,0,0,0,0,0,0,0,,,,
175,Eagle Mountain Casino,0,0,0,0,0,0,0,,,,
176,EBM Designs Group,0,0,0,0,0,0,0,,,,
177,El Diamante High School,0,0,0,0,0,0,0,,,,
178,El Futuro Credit Union,0,0,0,0,0,0,0,,,,
179,El Quinto Sol de America,0,0,0,0,0,2901.6,0,,,,
180,El Taco Rico,0,0,0,0,0,1755,0,,,,
181,Employer,0,0,0,0,0,0,0,,,,
182,Employment Connection,0,0,0,0,0,936,0,,,,
183,Enns Packing Co.,0,0,0,0,0,0,0,,,,
184,Envision,0,0,0,0,0,234,0,,,,
185,Evergreen Residence Assisted Living & Alzheimer's Care,0,0,0,0,0,0,0,,,,
186,Evermoore Films,0,0,0,0,0,0,0,,,,
187,"Exeter Engineering, Inc",0,0,0,0,0,3276,0,,,,
188,Exeter Police Department,0,0,0,0,0,0,0,,,,
189,Exopack,0,0,0,0,0,0,0,,,,
190,Experimental Aircraft Association,0,0,0,0,0,0,0,,,,
191,Fagundes Agribusiness,0,0,0,0,0,0,0,,,,
192,Family Health Care Network,0,0,0,0,0,0,0,,,,
193,Farmers Insurance Group,0,0,0,0,0,1287,0,,,,
194,Fashion Trend,0,0,0,0,0,702,0,,,,
195,FAST Credit Union,0,0,0,0,0,0,0,,,,
196,Fernandez Insurance Agency,0,0,0,0,0,1123.2,0,,,,
197,Fernjo Farms,0,0,0,0,0,0,0,,,,
198,Finance and Thrift,0,0,0,0,0,0,0,,,,
199,"Financial Credit Network, Inc.",0,0,0,0,0,0,0,,,,
200,Fisher Metal Products,0,0,0,0,0,0,0,,,,
201,Forcum Mackey Construction,0,0,0,0,0,0,0,,,,
202,"Frank M Alvarez, MD",0,0,0,0,0,0,0,,,,
203,Franks Automotive,0,0,0,0,0,0,0,,,,
204,"Fred H. Buettner, DDS, Inc",0,0,0,0,0,0,0,,,,
205,Fresno Chaffee Zoo,0,0,0,0,0,0,0,,,,
206,Fresno City College,0,0,0,0,0,0,0,,,,
207,Fresno County Office of Education,0,0,0,0,0,0,0,,,,
208,Fresno Pacific University,0,0,0,0,0,0,0,,,,
209,Fresno Surgical Center,0,0,0,0,0,0,0,,,,
210,Fruit Patch Inc.,0,0,0,0,0,0,0,,,,
211,Fun Flicks,0,0,0,0,0,0,0,,,,
212,Galaxy 9 Theater,0,0,0,0,0,0,0,,,,
213,Galaxy Theatres,0,0,0,0,0,1123.2,0,,,,
214,Garcia Manufacturing,0,0,0,0,0,0,0,,,,
215,Gateway Plaza,0,0,0,0,0,0,0,,,,
216,Generations Photography Studios,0,0,0,0,0,0,0,,,,
217,Gilkey Enterprises,0,0,0,0,0,0,0,,,,
218,Gist Farms,0,0,0,0,0,0,0,,,,
219,Glee Set Designer,0,0,0,0,0,0,0,,,,
220,GMMB,0,0,0,0,0,702,0,,,,
221,Golden West High School,0,0,0,0,0,0,0,,,,
222,GRID Alternatives,0,0,0,0,0,187.2,0,,,,
223,"Griswold, LaSalle, Cobb, Dowd & Gin LLP.",0,0,0,0,0,0,0,,,,
224,Groppetti Automotive,0,0,0,0,0,0,0,,,,
225,Grubb & Ellis/Pearson Commercial,0,0,0,0,0,0,0,,,,
226,Guardian Safety and Supply,0,0,0,0,0,0,0,,,,
227,GWF Power Systems,0,0,0,0,0,0,0,,,,
228,Habitat for Humanity,0,0,0,0,0,0,0,,,,
229,Hampton Inn,0,0,0,0,0,0,0,,,,
230,Hanford Elementary School District,0,0,0,0,0,0,0,,,,
231,Hanford Sentinel,0,0,0,0,0,0,0,,,,
232,Hansen Farms,0,0,0,0,8880,0,8880,Erik,Hansen,erik@hansenranches.com,559-303-5321
233,Hanson Travel Ideas,0,0,0,0,0,702,0,,,,
234,Happy Trails Riding Academy,0,0,0,0,0,0,0,,,,
235,Hart and Cooley,0,0,0,0,0,0,0,,,,
236,Helena Chemical Co.,0,0,0,0,0,0,0,,,,
237,Hellwig Manufacturing,0,0,0,0,0,0,0,,,,
238,Helping Hands Porterville,0,0,0,0,0,0,0,,,,
239,Heritage Realtors & Property Management,0,0,0,0,0,0,0,,,,
240,Hernandez Concrete,0,0,0,0,0,0,0,,,,
241,High-Speed Rail Authority,0,0,0,0,0,0,0,,,,
242,Hillman Building Designers,0,0,0,0,0,0,0,,,,
243,Hilti North America,0,0,0,0,0,0,0,,,,
244,Hoagie*s Heroes,0,0,0,0,0,702,0,,,,
245,Hoagie's Heroes,0,0,0,0,0,702,0,,,,
246,Holy Names University,0,0,0,0,0,0,0,,,,
247,Homac Mfg.,0,0,0,0,0,0,0,,,,
248,Home Realty & Land Company,0,0,0,0,0,0,0,,,,
249,"Homegrown Farms, AgriCare",0,0,0,0,0,0,0,,,,
250,Homes for Rent,0,0,0,0,0,936,0,,,,
251,Hoops Preschool,0,0,0,0,0,0,0,,,,
252,Hyde Commercial Real Estate,0,0,0,0,0,0,0,,,,
253,Hydrite Chemical Co.,0,0,0,0,0,0,0,,,,
254,"Ignite Events, Inc",0,0,0,0,0,0,0,,,,
255,Imagine Community Arts Center,0,0,0,0,0,6294.6,0,,,,
256,ImMODO Energy,0,0,0,0,0,0,0,,,,
257,Imperial Ambulance,0,0,0,0,0,0,0,,,,
258,INNOVATE-TK,348362,0,0,0,0,0,348362,Randy,Wallace,0,0
259,Integrated Forest Management,0,0,0,0,0,3744,0,,,,
260,Intergrated Grain & Milling,0,0,0,0,0,0,0,,,,
261,International Agri-Center,0,0,0,0,0,0,0,,,,
262,International Paper,0,0,0,0,0,0,0,,,,
263,Iron Horse Designs,0,0,0,0,0,0,0,,,,
264,ITC,0,0,0,0,0,702,0,,,,
265,J.D. Heiskell & Co.,0,0,0,0,0,0,0,,,,
266,Jack & Charlie's Restaurant,0,0,0,0,0,0,0,,,,
267,Jenny Lynn*s Café,0,0,0,0,0,0,0,,,,
268,Jenny Lynn's Cafe,0,0,0,0,0,1404,0,,,,
269,JG Boswell,0,600,0,0,16067,0,16667,Gary,Lindley,glindley@jgboswell.com,559-816-4002
270,JM Eagle,0,0,0,0,0,0,0,,,,
271,JMPE Electrical Engineering & Lighting Design,0,0,0,0,0,0,0,,,,
272,Jo-Ann Stores Distribution Center,0,0,0,0,0,0,0,,,,
273,Joel Picar Farm Labor Contracting,0,0,0,0,0,2340,0,,,,
274,Jostens,0,0,0,0,0,0,0,,,,
275,"Kahn, Soares & Conway, LLP.",0,0,0,0,0,0,0,,,,
276,Kaweah Delta - Lindsay Health Clinic,0,0,0,0,0,0,0,,,,
277,Kaweah Delta Health Care District,0,0,0,0,0,0,0,,,,
278,Kaweah Delta Health Care District - Rehabilitation Hospital,0,0,0,0,0,0,0,,,,
279,Kaweah Manor Convalescent Home,0,0,0,0,0,0,0,,,,
280,Kawneer,0,0,0,0,0,0,0,,,,
281,Kearney Agricultural Center,0,0,0,0,0,0,0,,,,
282,Keenan Farms,0,0,0,0,0,0,0,,,,
283,Keller Ford Lincoln,0,0,0,0,0,0,0,,,,
