Employer	Cash	Equipment	Scholarship	Stipend	Other	Paid Internships	Total	Contact First Name	Contact Last Name	Contact Email	Contact Phone
2Market Visuals	0	0	0	0	0	0	0				
3 R Construction	0	0	0	0	0	0	0				
"4 Creeks, Inc."	0	0	0	0	0	0	0				
A2 Designs LLC	0	0	0	0	0	0	0				
ABLE Industries	0	0	0	0	0	0	0				
Acme Paving Co. Inc.	0	0	0	0	0	0	0				
Acting Up	0	0	0	0	0	1918.8	0				
Adair & Evans	0	0	0	0	0	0	0				
Adelaide Family Dentistry	0	0	0	0	0	1872	0				
Advanced Structural Design Inc.	0	0	0	0	0	0	0				
Adventist Health	0	0	0	0	0	0	0				
Adventist Medical Center	0	0	0	0	0	0	0				
Aerotek	0	0	0	0	0	0	0				
Ag Lending	0	0	0	0	0	0	0				
Agidius Orchards	0	0	0	0	0	0	0				
AgriCare	0	0	0	0	0	0	0				
Agri-Valley Irrigation	0	0	0	0	0	0	0				
"Agusa, Inc."	0	0	0	0	0	0	0				
Airoso Dairy	0	0	0	0	0	0	0				
Alcoa Davenport Works	0	0	0	0	0	0	0				
"All Family Lending & Real Estate, Inc."	0	0	0	0	0	0	0				
All State Insurance	0	0	0	0	0	1404	0				
Allegiance Waste & Recycling	0	0	0	0	0	0	0				
AllFlex	0	0	0	0	0	0	0				
Alta Family Health Clinic	0	0	0	0	0	1872	0				
Amdal In-Home Care	0	0	0	0	0	0	0				
American Inc.	0	0	0	0	0	0	0				
American River Package One	0	0	0	0	0	0	0				
Art's Cabinets	0	0	0	0	0	0	0				
Assisted Service Dog Education Center	0	0	0	0	0	0	0				
Atlas Walnuts	0	0	0	0	0	0	0				
Avila Graphic Arts	0	0	0	0	0	0	0				
Awards & Signs Unlimited	0	0	0	0	0	0	0				
B & Z Nursery	0	0	0	0	0	280.8	0				
Badger Farming Company	0	0	0	0	0	0	0				
Baker Commodities	0	0	0	0	0	0	0				
Bakersfield College	0	0	0	0	0	0	0				
Bank of Commerce	0	0	0	0	0	0	0				
Bank of the Sierra	0	0	0	0	0	702	0				
Barn Theatre Board	0	0	0	0	0	0	0				
Barnes Construction	0	0	0	0	0	0	0				
Barnes Welding Supply	0	0	0	0	0	0	0				
Bar-One Farms	0	0	0	0	0	0	0				
BASF	0	0	0	0	0	0	0				
"Beckman Coulter, Inc."	0	0	0	0	0	0	0				
Beco Dairy Automation	0	0	0	0	0	0	0				
"Bioproducts, Inc."	0	0	0	0	0	0	0				
BJ Perch Construction	0	0	0	0	0	0	0				
Blair Air & Ground	0	0	0	0	721.5	0	721.5	Roger	Hewett	0	559-924-1276
Bluescope Buildings	0	0	0	0	0	0	0				
BMC West	0	0	0	0	0	0	0				
BMI Group	0	0	0	0	0	0	0				
BMW of Visalia	0	0	0	0	0	0	0				
Bob*s Tiny Market	0	0	0	0	0	702	0				
Bob's Tiny Market	0	0	0	0	0	702	0				
Booth Ranches	0	0	0	0	0	0	0				
Bowsmith	0	0	0	0	0	0	0				
Boyett Farms	0	0	0	0	0	0	0				
Boys & Girls Club of Tulare	0	0	0	0	0	590.85	0				
Britz Fertilizers	0	0	0	0	0	0	0				
BSK Associates	0	0	0	0	0	0	0				
Buckman-Mitchell Inc	0	0	0	0	0	0	0				
Burgos Tile	0	0	0	0	0	702	0				
Burr Commercial Real Estate	0	0	0	0	0	0	0				
Burton School District	0	0	0	0	0	702	0				
Bush Construction	0	0	0	0	0	0	0				
Bussetto Foods	0	0	0	0	0	0	0				
C D R Sytems Inc.	0	0	0	0	0	0	0				
Caglia Environmental	0	0	0	0	0	0	0				
Cal Bennett's	0	0	0	0	0	0	0				
"Calarco, Inc."	0	0	0	0	2826.77	0	2826.77	Bob	Uyemura	0	559-992-3127
Calcot Ltd.	0	0	0	0	0	0	0				
"California Bio-Productex, Inc."	0	0	0	0	0	0	0				
California Department of Corrections and Rehab	0	0	0	0	0	0	0				
California Department of Transportation	0	0	0	0	0	0	0				
California Health Sciences University	0	0	0	0	0	0	0				
California Highway Patrol	0	0	0	0	0	0	0				
California State Prison	0	0	0	0	0	0	0				
"California State University, Fresno"	0	0	0	0	0	0	0				
California Turf Equipment	0	0	0	0	0	0	0				
California Water Service Company	0	0	0	0	0	0	0				
Call & Jensen	0	0	0	0	0	0	0				
CalPoly San Luis Obispo	0	0	0	0	0	0	0				
CalTrans	0	0	0	0	0	0	0				
Camfil Farr Company	0	0	0	0	0	0	0				
Camino Real Farm Labor	0	0	0	0	0	2808	0				
Career Pillar	0	0	0	0	0	0	0				
Cargil Inc. - Nutrena Feed Division	0	0	0	0	0	0	0				
Carpenter's Union	0	0	0	0	0	0	0				
Casa Grande Senior Care Homes & Assisted Living	0	0	0	0	0	0	0				
"CEI Engineering Associates, Inc."	0	0	0	0	0	0	0				
Centex Homes	0	0	0	0	0	0	0				
Central California Family Crisis Center	0	0	0	0	0	163.8	0				
Central Valley Business Forms	0	0	0	0	0	0	0				
"Central Valley Cabinet, MFG."	0	0	0	0	0	0	0				
Central Valley Community Bank	0	0	0	0	0	0	0				
Central Valley Foot & Ankle	0	0	0	0	0	0	0				
Central Valley General Hospital	0	0	0	0	0	0	0				
Central Valley Meat Co.	0	0	0	0	0	0	0				
Certified Development Corp. dba Business Finance Center of Tulare	0	0	0	0	0	0	0				
Chamber of Commerce - Corcoran	0	0	0	0	0	0	0				
Chamber of Commerce - Cutler - Orosi	0	0	0	0	0	0	0				
Chamber of Commerce - Dinuba	0	0	0	0	0	0	0				
Chamber of Commerce - Exeter	0	0	0	0	0	0	0				
Chamber of Commerce - Hanford	0	0	0	0	0	0	0				
Chamber of Commerce - Lindsay	0	0	0	0	0	0	0				
Chamber of Commerce - Porterville	0	0	0	0	0	468	0				
Chamber of Commerce - Tulare	0	0	0	0	0	0	0				
Chamber of Commerce - Visalia	0	0	0	0	0	0	0				
Chemical Waste Management	0	0	0	0	0	0	0				
Children's Hospital	0	0	0	0	0	0	0				
Christenson Law Firm	0	0	0	0	0	0	0				
Circle J/SCICON	0	0	0	0	0	0	0				
Circle T Farms	0	0	0	0	592	0	592	Fred	Holt	ctfarms43@yahoo.com	559-240-4707
Citizens Business Bank	0	0	0	0	0	0	0				
Citri-Care	0	0	0	0	0	0	0				
City of Corcoran	0	0	0	0	0	0	0				
City of Dinuba	0	0	0	0	0	0	0				
City of Exeter	0	0	0	0	0	1404	0				
City of Lindsay	0	0	0	0	0	2901.6	0				
City of Porterville	0	0	0	0	0	5101.2	0				
City of Reedley	0	0	0	0	0	0	0				
City of Tulare	0	0	0	0	0	0	0				
City of Visalia	0	0	0	0	0	0	0				
CM Construction Services	0	0	0	0	0	0	0				
Coca-Cola Refreshments	0	0	0	0	0	0	0				
College of the Sequoias	0	0	0	0	0	0	0				
Comfort Suites	0	0	0	0	0	0	0				
Conagra Foods Inc.	0	0	0	0	0	0	0				
ConnectED	0	0	0	0	0	0	0				
Corcoran District Hospital	0	0	0	0	0	0	0				
Corcoran Joint Unified School District	0	0	0	0	0	0	0				
"Corcoran Machine Works, Inc."	0	0	0	0	0	0	0				
